developer;developer_id
Minority Media Inc.;850
Badland Studio;851
Tiger Style;852
Artifice Studio;853
Digital Leisure Inc.;854
Tragnarion Studios;855
EightyEightGames;856
"SEGA Studios Australia;Feral Interactive (Mac)";857
"Croteam;Alligator Pit";858
Sauropod Studio;859
Sperasoft, Inc.;860
RETO MOTO;861
Beamdog;862
DONTNOD Entertainment;863
"Double Fine Productions;Shiny Shoe";864
17-BIT;865
Iron Galaxy Studios;866
Cube Roots;867
HyperSloth;868
FarmerGnome;869
Hello Games;870
Going Loud Studios;871
Iron Tower Studio;872
Colin Northway with art by Thomas Shahan;873
Brightrock Games;874
Metanet Software Inc.;875
Giant Army;876
Spicy Horse;877
Geniaware Srl;878
NIGORO;879
Internal Games;880
Droqen;881
Eko Software;882
Threaks;883
Focus Home Interactive;884
Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano;885
Cardboard Computer;886
Santa Ragione;887
"Relic Entertainment;Feral Interactive (Mac);Feral Interactive (Linux)";888
Lucky Frame;889
Behold Studios;890
Snowbird Games;891
Fullbright;892
Spiders;893
Halycon Media GmbH & Co. KG;894
Kuno Interactive;895
Mighty Rocket Studio;896
Games Farm;897
Locked Door Puzzle;898
Geoff Keighley;899
Shiro Games;900
"Eric Chahi;DotEmu";901
Refract;902
Bossa Studios;903
The Men Who Wear Many Hats;904
Lo-Fi Games;905
@unepic_fran;906
MercurySteam - Climax Studios;907
"Avalanche Studios;Feral Interactive (Mac);Feral Interactive (Linux)";908
Crocodile Entertainment;909
Demiurge Studios;910
Test3 Projects;911
XYLA Entertainment;912
Harebrained Schemes;913
CyberConnect2 Co. Ltd.;914
Treexy;915
"Sean Han Tani;Marina Kittaka";916
The Story Mechanics;917
Point Five Projects;918
"Double Helix Games;Capcom";919
PlatinumGames;920
Laboratory Systems;921
Ubisoft Toronto;922
"Alexey Bokulev;Snowbird Games";923
Ludochip;924
Dylan Fitterer;925
I-Illusions;926
Swing Swing Submarine;927
55 Revolver;928
Humble Hearts LLC;929
L3O Interactive;930
March Entertainment;931
Zero Point Software;932
FromSoftware, Inc;933
Mine Loader Software Co., Ltd.;934
BANDAI NAMCO Studio Inc.;935
Brain Slap Studio;936
Serellan LLC;937
KOG;938
Logic Artists;939
Crafty Studios;940
WayForward;941
FreakZone Games;942
Red Thread Games;943
Pathea Games;944
Idea Factory;945
"Eidos Montreal;Feral Interactive (Mac)";946
Interceptor Entertainment;947
"Irrational Games;Looking Glass Studios";948
Handyman Studios;949
FarSight Studios;950
Red Barrels;951
Pieces Interactive;952
Monochrome, Inc;953
Andrew Morrish;954
Team2Bit;955
Games Distillery s.r.o.;956
Grinding Gear Games;957
Lucas Pope;958
Crackshell;959
Teknopants;960
"Eidos-Montréal;Feral Interactive (Mac)";961
The Chinese Room;962
MercurySteam;963
